iter	Passed	Remaining
0	6	6365
1	10	5095
2	13	4377
3	15	3977
4	18	3769
5	21	3633
6	24	3507
7	27	3395
8	30	3314
9	32	3242
10	34	3133
11	36	3044
12	39	2973
13	41	2909
14	43	2860
15	45	2813
16	48	2780
17	49	2722
18	51	2674
19	53	2627
20	55	2583
21	57	2549
22	59	2514
23	61	2483
24	63	2458
25	65	2437
26	66	2409
27	68	2384
28	70	2347
29	72	2349
30	74	2335
31	76	2324
32	79	2315
33	80	2299
34	82	2285
35	85	2278
36	86	2263
37	89	2265
38	91	2256
39	92	2231
40	94	2214
41	96	2198
42	98	2183
43	99	2162
44	101	2144
45	103	2153
46	105	2143
47	107	2132
48	109	2118
49	111	2110
50	112	2095
51	114	2078
52	116	2081
53	118	2078
54	120	2067
55	121	2056
56	123	2044
57	125	2036
58	126	2013
59	127	2001
60	129	1989
61	132	2003
62	134	2000
63	136	1989
64	137	1983
65	139	1972
66	140	1962
67	142	1950
68	144	1951
69	146	1945
70	148	1939
71	149	1930
72	151	1922
73	152	1914
74	154	1905
75	156	1897
76	160	1919
77	162	1915
78	164	1915
79	165	1907
80	167	1900
81	168	1891
82	171	1893
83	174	1898
84	175	1892
85	177	1888
86	179	1883
87	181	1877
88	182	1872
89	185	1870
90	187	1876
91	191	1885
92	192	1880
93	194	1874
94	196	1872
95	198	1870
96	200	1863
97	201	1851
98	203	1848
99	205	1846
100	206	1839
101	207	1829
102	209	1823
103	210	1815
104	212	1808
105	213	1803
106	215	1802
107	217	1797
108	219	1791
109	220	1786
110	222	1782
111	224	1776
112	225	1769
113	226	1762
114	229	1769
115	231	1766
116	233	1760
117	234	1755
118	236	1752
119	238	1746
120	239	1740
121	240	1733
122	244	1740
123	245	1736
124	247	1730
125	249	1728
126	250	1724
127	252	1718
128	253	1713
129	254	1705
130	257	1708
131	259	1705
132	260	1701
133	262	1699
134	264	1695
135	266	1690
136	267	1684
137	269	1681
138	270	1677
139	272	1676
140	274	1672
141	276	1671
142	278	1667
143	279	1662
144	281	1658
145	282	1653
146	285	1654
147	287	1652
148	289	1650
149	290	1647
150	292	1642
151	293	1638
152	295	1636
153	297	1632
154	299	1632
155	300	1626
156	302	1624
157	304	1621
158	305	1617
159	307	1613
160	309	1610
161	310	1606
162	311	1601
163	314	1604
164	317	1605
165	318	1602
166	320	1598
167	322	1596
168	323	1590
169	324	1586
170	326	1581
171	329	1584
172	330	1580
173	332	1578
174	334	1576
175	336	1573
176	337	1570
177	339	1567
178	341	1567
179	343	1563
180	344	1560
181	346	1557
182	348	1555
183	350	1552
184	351	1550
185	354	1550
186	356	1549
187	358	1547
188	360	1547
189	362	1546
190	364	1542
191	365	1538
192	367	1534
193	369	1537
194	371	1535
195	373	1533
196	375	1530
197	376	1526
198	378	1523
199	379	1519
200	380	1513
201	382	1511
202	384	1509
203	386	1507
204	387	1503
205	389	1499
206	390	1495
207	391	1492
208	393	1488
209	394	1485
210	395	1479
211	398	1480
212	400	1478
213	402	1476
214	403	1473
215	405	1470
216	406	1468
217	408	1464
218	409	1460
219	411	1458
220	412	1455
221	414	1452
222	415	1448
223	417	1445
224	418	1442
225	420	1438
226	421	1435
227	422	1431
228	424	1428
229	426	1426
230	427	1423
231	428	1419
232	430	1416
233	431	1413
234	433	1410
235	434	1406
236	436	1403
237	437	1400
238	438	1397
239	440	1394
240	441	1391
241	443	1388
242	444	1385
243	446	1382
244	447	1378
245	448	1375
246	450	1372
247	451	1369
248	453	1366
249	454	1363
250	455	1360
251	457	1357
252	458	1354
253	460	1352
254	461	1349
255	463	1346
256	464	1343
257	466	1340
258	468	1340
259	469	1337
260	471	1335
261	473	1332
262	474	1329
263	476	1327
264	478	1326
265	479	1324
266	481	1322
267	483	1319
268	484	1317
269	486	1314
270	487	1312
271	489	1309
272	491	1308
273	493	1306
274	495	1305
275	497	1305
276	499	1303
277	500	1300
278	502	1298
279	504	1296
280	505	1293
281	506	1290
282	508	1287
283	509	1285
284	511	1283
285	513	1280
286	514	1277
287	515	1275
288	517	1272
289	518	1270
290	520	1267
291	521	1264
292	522	1261
293	524	1260
294	526	1257
295	527	1254
296	528	1252
297	530	1249
298	531	1247
299	533	1244
300	534	1242
301	536	1240
302	538	1238
303	539	1236
304	541	1233
305	543	1232
306	544	1230
307	546	1228
308	548	1226
309	550	1224
310	551	1222
311	553	1219
312	554	1217
313	556	1215
314	558	1213
315	559	1211
316	561	1209
317	562	1207
318	564	1205
319	566	1204
320	568	1202
321	570	1200
322	572	1198
323	573	1197
324	575	1195
325	577	1193
326	579	1191
327	580	1189
328	582	1187
329	584	1186
330	586	1184
331	587	1182
332	589	1180
333	591	1178
334	592	1177
335	594	1175
336	596	1173
337	598	1171
338	599	1169
339	601	1167
340	603	1165
341	604	1163
342	606	1161
343	608	1159
344	609	1157
345	611	1156
346	613	1154
347	615	1152
348	617	1151
349	618	1149
350	620	1147
351	622	1145
352	624	1144
353	626	1142
354	627	1140
355	629	1139
356	631	1136
357	632	1135
358	635	1134
359	637	1133
360	639	1132
361	641	1130
362	643	1129
363	645	1127
364	647	1126
365	649	1124
366	650	1122
367	653	1121
368	656	1121
369	657	1120
370	660	1119
371	662	1117
372	663	1115
373	666	1115
374	668	1113
375	669	1111
376	671	1109
377	673	1107
378	674	1105
379	676	1103
380	678	1101
